r/R,c_m,c1_m,psi_deg,h_m,alpha_totale
0.04211052631578948,0.02591649190283401,0.006479075708502024,14.822820598785423,2.3746963562753037e-05,0.8671172195107327
0.046789473684210534,0.02713285827822838,0.006783192624431435,13.42174163715916,2.280548743400865e-05,0.9162197853165444
0.05146842105263159,0.02804038289329251,0.007010099659907178,12.693401734257321,2.531492672405493e-05,0.919866368221562
0.05614736842105264,0.028720406965320758,0.007180111698491735,12.170374647172972,2.7571627861283036e-05,0.9048603489048902
0.060826315789473694,0.0291977667847151,0.007299439211179506,11.824744269699623,2.9800600029231867e-05,0.8833284326441287
0.06550526315789475,0.029483244713962183,0.007370851173597862,11.645647467748228,3.203962815600747e-05,0.8623419134995883
0.0701842105263158,0.029589702031609714,0.007397438060269666,11.607811802845573,3.4223010044944376e-05,0.8366166870953611
0.07486315789473685,0.02952818339305381,0.007382068301094617,11.674796001348493,3.6496226493141195e-05,0.8154344122916523
0.07954210526315791,0.029306833120950768,0.007326659477588016,11.794251593462675,3.857663042073206e-05,0.7937179689517457
0.08422105263157896,0.028927716841174553,0.007231904210293638,11.923636267282356,4.035617900114271e-05,0.7738253028499218
0.0889,0.028418550847332743,0.007104621367521368,12.04470838194076,4.178085027998821e-05,0.7612500092083611
0.09357894736842107,0.027788917477031643,0.00694724176172411,12.170183259548665,4.2946128783165554e-05,0.7486700797779873
0.09825789473684213,0.027051955218173634,0.006763029933919679,12.303668028992353,4.378710503048071e-05,0.7384690696301764
0.10293684210526317,0.026216999683300497,0.006554240345189527,12.443399536426906,4.431773672318137e-05,0.7318726393712548
0.10761578947368422,0.025298488134789163,0.006324644207966928,12.588597633374008,4.458869707855118e-05,0.7252473096865588
0.11229473684210528,0.024301198330323678,0.00607527458258092,12.735831083183541,4.458134259193431e-05,0.7180116367856267
0.11697368421052634,0.02324057789049694,0.005810131594200649,12.895513041181795,4.430302738868982e-05,0.7117637141181956
0.12165263157894739,0.022131179889711014,0.005532810182470618,13.069353869159157,4.3804200857286156e-05,0.7045273827534507
0.12633157894736843,0.020985957501529495,0.005246489375382374,13.258038499264417,4.3067122174953984e-05,0.6954729999944211
0.1310105263157895,0.019814561890838203,0.004953674999999999,13.351406956384016,4.152607212475633e-05,0.7013157575298133
0.13568947368421055,0.018628989120402676,0.00465723430165821,13.31008496876115,3.906866109792605e-05,0.7382831657151055
0.1403684210526316,0.01744099655560209,0.004360273582866686,13.235803735384641,3.6326689624148786e-05,0.7806955480913611
0.14504736842105265,0.01626347516558859,0.004065843791397148,13.190862940048397,3.3794947802751785e-05,0.8188363634182696
0.1497263157894737,0.015111253608928373,0.0037778099887154325,13.153768188075716,3.129557846651404e-05,0.852598285185128
0.15440526315789477,0.013992094563368328,0.0034980517923899027,13.142387326459273,2.8926061912813256e-05,0.8815704231931447
0.15908421052631583,0.012918108135641001,0.0032295270339102503,13.150574627102593,2.6744307353624017e-05,0.9066408718806903
0.16376315789473686,0.01190254906954979,0.0029756740632158043,13.169341414758971,2.4675350179161418e-05,0.9297272110428599
0.16844210526315792,0.01095453493058128,0.002738614545932217,13.21188025623556,2.281626573794013e-05,0.9524423445385908
0.17312105263157898,0.009532053492088558,0.0023829961487803536,13.262995781476214,1.9911030328574145e-05,0.9755949939040939
0.1778,0.0004674,0.0001168,13.0478587,1e-06,0.998883777207687
